id,ident,type,name,latitude,longitude,elevation_ft,iso_region,city,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
26762,WALR,medium_airport,Juwata Airport,3.326667,117.569444,23,ID-KU,Tarakan Island,1,WAQQ,TRK,TRK,http://www.tarakan-airport.com,http://en.wikipedia.org/wiki/Juwata_Airport,"WRLR, WALR, WAQQ, TRK, JUWATA, TARAKAN",450,2016-05-20T09:37:21+00:00
41423,WAJB,small_airport,Bokondini Airport,-3.6822,138.6755,4550,ID-PA,Bokondini,1,WAJB,BUI,,,http://en.wikipedia.org/wiki/Bokondini_Airport,,350,2013-12-19T02:02:21+00:00
26861,WITM,small_airport,Malikus Saleh Airport,5.226679802,96.95030212,90,ID-AC,Lhok Seumawe-Sumatra Island,1,WITM,LSW,,,,,350,2008-08-22T18:35:28+00:00
26859,WITB,small_airport,Maimun Saleh Airport,5.874129772,95.33969879,393,ID-AC,Sabang-We Island,1,WITN,SBG,,,http://en.wikipedia.org/wiki/Maimun_Saleh_Airport,WIAA WITB,350,2013-01-11T09:07:05+00:00
41371,ID-IUL,small_airport,Ilu Airport,-3.7051,138.2002,6408,ID-PA,Ilu-Papua Island,0,WABE,IUL,,,,,50,2013-12-28T00:46:18+00:00
26834,WIHP,small_airport,Pondok Cabe Air Base,-6.336959839,106.7649994,200,ID-JK,Jakarta,0,WIHP,PCB,,,http://en.wikipedia.org/wiki/Pondok_Cabe_Airport,"WIPC,WIIP",50,2009-01-02T09:08:03+00:00
31200,ID-FOO,small_airport,Kornasoren Airfield,-0.936325014,134.871994,13,ID-PA,Kornasoren-Numfoor Island,1,WABF,FOO,WA23,,http://en.wikipedia.org/wiki/Kornasoren_Airport,,50,2012-08-31T01:04:48+00:00
3272,WI1A,small_airport,Nusawiru Airport,-7.720389843,108.4899979,16,ID-JB,Pangandaran-Java Island,0,WI1A,,WI1A,,,,50,2008-08-22T18:32:53+00:00
41425,WAJI,small_airport,Sarmi Airport,-1.86954999,138.75,10,ID-PA,Sarmi-Papua Island,0,WAJI,ZRM,,,http://id.wikipedia.org/wiki/Bandar_Udara_Mararena,"Mararena, Orai",50,2014-02-17T23:54:05+00:00
41419,WABO,small_airport,Serui Airport,-1.875579953,136.2409973,50,ID-PA,Serui-Japen Island,0,WABO,ZRI,,,,,50,2008-08-22T18:33:08+00:00
